StaffPaymentID,StaffID,Date,Amount,Processed
1,13,2018-07-30,1477.52,True
2,16,2018-07-31,8383.54,False
3,8,2017-06-08,6568.79,False
4,6,2017-04-14,7192.36,True
5,6,2018-03-21,7656.32,True
6,11,2018-03-31,3529.43,True
7,17,2019-01-22,7414.13,False
8,17,2020-03-03,7607.52,False
9,6,2018-09-21,1837.86,False
10,16,2018-06-05,6733.82,False
11,8,2019-11-30,2105.84,True
12,8,2019-05-21,3663.61,False
13,1,2018-07-06,9191.20,False
14,11,2018-11-09,1967.86,True
15,18,2017-07-12,2634.64,False
16,13,2018-05-22,5774.84,False
17,8,2018-08-27,4815.49,False
18,11,2019-12-04,2085.16,True
19,2,2019-07-11,3864.72,True
20,6,2018-03-16,9232.33,False
21,20,2018-01-13,6639.04,False
22,13,2020-02-03,7873.49,True
23,14,2019-10-07,6096.63,False
24,8,2018-01-28,9347.57,True
25,13,2018-08-20,6704.82,False
26,2,2017-08-09,5212.74,True
27,12,2019-12-06,1554.50,True
28,3,2018-02-15,3911.23,False
29,17,2020-03-13,5090.78,False
30,19,2018-03-05,6545.85,False
31,10,2019-09-19,6259.34,True
32,4,2017-07-24,4502.73,True
33,12,2017-07-10,3500.70,True
34,8,2019-07-28,9055.96,True
35,1,2017-04-10,1194.60,True
36,9,2017-10-16,6617.93,False
37,8,2020-03-09,5648.99,False
38,1,2018-09-30,7425.12,False
39,13,2020-02-21,6510.83,False
40,11,2019-04-16,7712.35,True
41,5,2020-01-07,6958.02,True
42,4,2017-11-06,2700.17,False
43,20,2019-07-26,1566.93,True
44,10,2018-05-31,5349.81,True
45,16,2019-06-24,7778.77,False
46,5,2020-01-15,4764.66,True
47,6,2017-08-12,6847.21,True
48,15,2018-05-19,3911.60,True
49,11,2017-07-13,9053.18,False
50,8,2018-02-08,8068.51,True
51,19,2018-04-24,4961.92,True
52,14,2018-07-09,9139.78,False
53,12,2020-02-15,3106.44,False
54,15,2019-06-23,5746.36,True
55,20,2018-09-15,8081.65,False
56,20,2020-01-09,2951.94,True
57,4,2018-01-01,9780.92,True
58,1,2017-10-12,1314.01,False
59,20,2019-11-06,8069.55,False
60,6,2018-07-01,7367.90,False
61,13,2017-11-14,5720.46,False
62,17,2020-02-19,6571.04,False
63,14,2020-03-09,3965.04,False
64,3,2019-12-25,2685.63,True
65,6,2019-02-06,4759.60,True
66,6,2018-04-21,7022.66,True
67,4,2019-12-04,8979.89,False
68,9,2017-11-15,8156.01,False
69,16,2018-06-10,6699.51,False
70,20,2019-03-28,1609.85,False
71,20,2020-02-24,8580.04,False
72,14,2018-01-19,6686.41,True
73,2,2018-10-15,6920.90,False
74,1,2019-09-12,1366.44,True
75,11,2018-06-19,8729.41,False
76,5,2019-07-01,3282.28,False
77,12,2017-06-23,9287.86,False
78,6,2018-07-25,9320.97,False
79,11,2019-08-26,5190.80,True
80,9,2018-01-05,4543.03,False
81,5,2019-06-24,8532.23,False
82,5,2018-02-14,6632.74,False
83,16,2017-11-21,9704.39,True
84,20,2018-04-21,5034.82,False
85,16,2019-11-10,2117.18,False
86,17,2017-11-26,9188.84,True
87,4,2019-06-29,6545.85,True
88,5,2017-04-27,7688.99,True
89,10,2020-01-20,8220.25,True
90,10,2017-09-03,7445.62,False
91,6,2018-09-07,6967.23,True
92,7,2018-11-20,9314.41,True
93,16,2018-10-09,8847.94,True
94,20,2019-08-22,9478.16,False
95,20,2018-06-09,9192.49,False
96,13,2019-06-02,5338.22,True
97,16,2017-10-15,7377.64,False
98,8,2018-12-30,2775.38,True
99,8,2018-11-25,4896.92,True
100,8,2017-12-06,1042.59,False
